あ
か
さ
た
な
は
ま
や
ら
わ
イコール
プラス
マイナス
かける
わる
ひだりかっこ
みぎかっことじ
ひだりちゅうかっこ
みぎちゅうかっこ とじ
だいなり
しょうなり
だいなり イコール
しょうなり イコール
わおよそ
あまり
つぎ
あんど
のにじょう
のさんじょう
のよんじょう


a

b

c

d

e

f

g

00, 👑王, おお
01, 🦑イカ, いか
02, 🦶足, あし
03, 🧶糸, いと
04, 🐶犬, いぬ
05, 阿保🙀, あほ
06, 飴🍭, あめ
07, 鮎🐟, あゆ
08, 蟻🐜, あり
09, 岩🗿, いわ
10, 鯉🎏, こい
11, 柿🍊, かき
12, 傘☂️, かさ
13, 口👄, くち
14, 蟹🦀, かに
15, 河馬🦛, かば
16, 亀🐢, かめ
17, 粥🥣, かゆ
18, 栗🌰, くり
19, 金🥇, きん
20, 犀🦏, さい
21, 鹿🦌, しか
22, 寿司🍣, すし
23, 里🎑, さと
24, 砂⏳, すな
25, 祖母👵, そぼ
26, 島🏝, しま
27, 白湯🥛, さゆ
28, 猿🐒, さる
29, 皺👴, しわ
30, 塔🗼, とう
31, 竹🎋, たけ
32, 都市🌃, とし
33, 鉄🏗, てつ
34, 種🥝, たね
35, 徒歩🚶‍♂️, とほ
36, 玉🎳, たま
37, 艷🔮, つや
38, 地理🗺, ちり
39, 点💯, てん
40, 脳🧠, のう
41, 肉🥩, にく
42, 茄子🍆, なす
43, 熱🔥, ねつ
44, 何🎁, なに
45, 鍋🍲, なべ
46, 波🌊, なみ
47, 納屋🏡, なや
48, 楡🌲, にれ
49, 庭🏕, にわ
50, 稗🌾, ひえ
51, 箱📦, はこ
52, 橋🌉, はし
53, 蜂🐝, はち
54, 花🌷, はな
55, 母🤱, はは
56, ハム🥓, はむ
57, 部屋🏢, へや
58, 針💉, はり
59, 本📚, ほん
60, 舞🎎, まい
61, 巫女🧝‍♀️, みこ
62, 虫🐞, むし
63, 道🛣, みち
64, 峰⛰, みね
65, 真帆⛵️, まほ
66, 樅🎄, もみ
67, 宮⛩, みや
68, 森🏞, もり
69, 麺🍜, めん
70, 宵🌆, よい
71, 雪☃️, ゆき
72, 椰子🌴, やし
73, 宿🏨, やど
74, 屋根🏠, やね
75, 指🤲, ゆび
76, 弓🏹, ゆみ
77, 湯屋🛀, ゆや
78, 夜🌌, よる
79, 夜話📖, やわ
80, 蝋🕯, ろう
81, 理科⚗️, りか
82, 栗鼠🐿, りす
83, ラテ☕️, らて
84, レナ🏞, れな
85, 驢馬🐴, ろば
86, ロム📀, ろむ
87, ラー油🥟, らーゆ
88, リラ💰, りら
89, ロン🀄️, ろん
90, 淮🏞, わい
91, 脇🙆‍♂️, わき
92, 鷲🦅, わし
93, 棉☁️, わた
94, 鰐🐊, わに
95, 詫び🙇‍♂️, わび
96, ワーム🐛, わーむ
97, わや🙅‍♀️, わや
98, 悪🦹‍♂️, わる
99, 椀🍵, わん
