れ
ひ
に
さ
よ
ご
ろ
な
は
く
イコール
プラス
マイナス
かける
わる
ひだりかっこ
みぎかっことじ
ひだりちゅうかっこ
みぎちゅうかっこ とじ
だいなり
しょうなり
だいなり イコール
しょうなり イコール
わおよそ
あまり
つぎ
あんど
のにじょう
のさんじょう
のよんじょう


a

b

c

d

e

f

g

00, 👑王 (O(オウ) O(オウ)), おお
01, 👦甥 (O(オウ) 一(いち)), おい
02, 👹鬼 (O(オウ) 二(に)), おに
03, 🧔おっさん (O(オウ) 三(さん)), おっさん
04, 🥼レーヨン (零(れい)　四(よん)), れーよん
05, 👻霊魂 (零(れい)　五(ご)), れいこん
06, 🦜オウム (O(オウ) 六つ(むっつ)), おうむ
07, 👩女 (O(オウ) 七(なな)), おんな
08, 👵叔母 (O(オウ) 八(はち)), おば
09, ⚰️霊柩 (零(れい)　九(きゅう)), れいきゅう
10, 🗼塔 (十日(とおか)), とう
11, 🐒ヒヒ (一つ一つ(ひとつひとつ)), ひひ
12, 🤲皮膚 (一つ(ひとつ) 二つ(ふたつ)), ひふ
13, 👁瞳 (一つ(ひとつ) 三つ(みっつ)), ひとみ
14, 👨‍⚕️医師 (一つ(ひとつ) 四月(しがつ)), いし
15, 🍓苺 (一(いち) 五月(ごがつ)), いちご
16, 🚥色 (一(いち) 六月(ろくがつ)), いろ
17, 🌾稲 (一つ(ひとつ) ７つ(ななつ)), いな
18, 🎄ヒバ (一つ(ひとつ) 八月(はちがつ)), ひば
19, 🖊インク (一(いち) 九月(くがつ)), いんく
20, 🌲楡 (二(に) 零(れい)), にれ
21, 🧞‍♂️封印 (二つ（ふたつ）一(いち)), ふういん
22, 👫夫婦 (二つ（ふたつ）二つ（ふたつ）), ふうふ
23, 📮文 (二つ（ふたつ）三つ（みっつ）), ふみ
24, 🐟鰊ニシン (二(に) 四月(しがつ)), にしん
25, 👯‍♂️双子 (二つ（ふたつ）五月(ごがつ)), ふたご
26, 🛀風呂 (二つ（ふたつ）六月(ろくがつ)), ふろ
27, 🐠鮒 (二つ（ふたつ）七(なな)), ふな
28, 🌱双葉 (二つ（ふたつ）八（はち）), ふたば
